City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tonnerre,47.8563,3.9737,281.43,94,83,2.71,FR,1707523738
83,bredasdorp,-34.5322,20.0403,290.26,76,51,2.68,ZA,1707523738
84,najran,17.4924,44.1277,286.51,50,1,0.57,SA,1707523738
85,bomdila,27.25,92.4,276.06,65,1,2.75,IN,1707523738
86,blackmans bay,-43.0167,147.3167,291.22,50,28,0.45,AU,1707523738
87,minas de marcona,-15.2119,-75.1103,293.94,75,7,6.15,PE,1707523739
88,chonchi,-42.6128,-73.8092,291.71,90,72,1.61,CL,1707523739
89,hakui,36.8833,136.7833,281.38,73,65,5.85,JP,1707523739
90,qaqortoq,60.7167,-46.0333,262.01,66,100,4.27,GL,1707523739
91,college,64.8569,-147.8028,269.15,71,75,0.0,US,1707523739
92,queenstown,-31.8976,26.8753,288.89,81,84,2.25,ZA,1707523739
93,hadibu,12.65,54.0333,297.65,74,97,5.25,YE,1707523740
94,stanley,54.868,-1.6985,279.0,88,100,1.32,GB,1707523740
95,kuqa,41.7278,82.9364,271.0,55,83,1.14,CN,1707523740
96,cameron,26.117,-97.5169,298.21,80,20,7.2,US,1707523740
97,taoudenni,22.6783,-3.9836,295.28,9,81,2.81,ML,1707523741
98,hamilton,39.1834,-84.5333,288.04,76,0,4.12,US,1707523519
99,nemuro,43.3236,145.575,269.24,81,100,0.97,JP,1707523741
100,neder holluf,55.3645,10.4482,273.59,99,100,9.59,DK,1707523741
101,smithers,54.7804,-127.1743,268.33,74,100,2.57,CA,1707523539
102,mount isa,-20.7333,139.5,304.02,58,26,3.09,AU,1707523742
103,st. john's,47.5649,-52.7093,271.3,94,100,7.2,CA,1707523529
104,ilulissat,69.2167,-51.1,259.16,47,40,5.66,GL,1707523742
105,pokhvistnevo,53.6524,52.1274,253.01,100,92,2.32,RU,1707523742
106,santiago de cao,-7.9589,-79.2392,298.22,83,40,4.63,PE,1707523743
107,bilibino,68.0546,166.4372,252.5,91,100,2.54,RU,1707523743
108,thompson,55.7435,-97.8558,255.39,99,100,1.5,CA,1707523743
109,utrik,11.2278,169.8474,299.26,80,100,10.52,MH,1707523743
110,east london,-33.0153,27.9116,293.42,60,73,5.97,ZA,1707523743
111,sitka,57.0531,-135.33,279.09,70,100,9.77,US,1707523744
112,nhandeara,-20.6942,-50.0383,299.27,54,99,0.46,BR,1707523744
113,tazovsky,67.4667,78.7,256.71,96,100,5.25,RU,1707523744
114,inarajan village,13.2736,144.7484,302.69,81,100,7.33,GU,1707523745
115,xilin hot,43.9667,116.0333,250.17,96,13,3.1,CN,1707523745
116,vernon,50.2581,-119.2691,278.49,54,67,0.41,CA,1707523745
117,badger,64.8,-147.5333,269.1,77,75,0.0,US,1707523745
118,fisterra,42.9049,-9.2629,283.57,60,82,9.51,ES,1707523745
119,aasiaat,68.7098,-52.8699,257.87,74,100,9.22,GL,1707523746
120,kavaratti,10.5669,72.642,300.82,74,57,2.52,IN,1707523746
121,harper,4.375,-7.7169,298.44,93,1,1.23,LR,1707523746
122,gadzhiyevo,69.2551,33.3362,258.01,91,100,2.7,RU,1707523746
123,mega,4.05,38.3,292.11,49,20,5.32,ET,1707523746
124,kudahuvadhoo,2.6708,72.8944,300.72,73,98,7.01,MV,1707523747
125,valparaiso,-33.0393,-71.6273,294.53,61,0,2.57,CL,1707523747
126,tolanaro,-25.0319,46.9987,297.52,88,4,5.93,MG,1707523747
127,penzance,50.1186,-5.5371,282.53,76,64,9.6,GB,1707523747
